,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1007.0,12259.5,2022-01-14,12292.5,12256.5,12290.0,08:45,12.004842615012109,826.0
1008.0,12289.0,2022-01-14,12299.0,12251.0,12259.5,08:50,24.6993769470405,642.0
1009.0,12293.0,2022-01-14,12294.0,12252.5,12279.0,08:55,31.61464968152866,942.0
1010.0,12302.0,2022-01-14,12307.0,12273.5,12275.5,09:00,14.626491646778042,838.0
1011.0,12260.0,2022-01-14,12304.0,12259.0,12300.0,09:05,51.33620689655172,348.0
1012.0,12268.5,2022-01-14,12284.5,12261.5,12268.0,09:10,53.083333333333336,324.0
1013.0,12271.0,2022-01-14,12272.0,12268.5,12268.5,09:15,125.46428571428572,28.0
1014.0,12268.5,2022-01-14,12270.0,12260.0,12262.0,09:20,9.714285714285714,140.0
1015.0,12258.5,2022-01-14,12261.0,12246.0,12261.0,09:25,18.192,250.0
1016.0,12249.0,2022-01-14,12259.0,12230.0,12257.5,09:30,27.80225988700565,354.0
1017.0,12269.5,2022-01-14,12269.5,12249.5,12249.5,09:35,99.83720930232558,86.0
1018.0,12274.0,2022-01-14,12275.5,12269.5,12269.5,09:40,89.34,100.0
1019.0,12279.0,2022-01-14,12279.0,12270.0,12273.0,09:45,120.76,50.0
1020.0,12270.5,2022-01-14,12279.5,12270.5,12271.5,09:50,32.56666666666667,60.0
1021.0,12249.0,2022-01-14,12276.0,12249.0,12270.5,09:55,53.16923076923077,130.0
1022.0,12335.5,2022-01-14,12366.5,12236.0,12250.0,10:00,24.08084696823869,6234.0
1023.0,12306.0,2022-01-14,12354.5,12305.0,12332.5,10:05,36.25680751173709,2130.0
1024.0,12306.0,2022-01-14,12321.0,12294.0,12306.0,10:10,39.803171641791046,1072.0
1025.0,12318.0,2022-01-14,12328.0,12305.0,12305.0,10:15,28.561475409836067,1464.0
1026.0,12263.5,2022-01-14,12334.0,12260.5,12320.0,10:20,28.242183214481624,3646.0
1027.0,12241.0,2022-01-14,12275.0,12240.0,12273.5,10:25,20.84315023163468,3022.0
1028.0,12257.5,2022-01-14,12257.5,12214.5,12240.0,10:30,62.88302752293578,1308.0
1029.0,12254.5,2022-01-14,12274.0,12245.0,12246.5,10:35,15.473087818696884,3530.0
1030.0,12250.0,2022-01-14,12267.5,12242.5,12255.0,10:40,134.50390625,256.0
1031.0,12248.0,2022-01-14,12258.0,12222.0,12250.0,10:45,39.417972350230414,2170.0
1032.0,12252.0,2022-01-14,12278.0,12239.5,12239.5,10:50,91.34384384384384,666.0
1033.0,12284.0,2022-01-14,12289.0,12258.0,12265.5,10:55,91.41810344827586,696.0
1034.0,12254.0,2022-01-14,12291.5,12244.0,12284.5,11:00,33.081545064377686,2330.0
1035.0,12277.0,2022-01-14,12290.0,12253.5,12255.5,11:05,87.12622549019608,816.0
1036.0,12260.0,2022-01-14,12292.5,12257.5,12275.5,11:10,18.401826484018265,3942.0
