,c,date,h,l,o,time,bid_to_order_volume_ratio,v
3136.0,21508.0,2022-02-04,21530.0,21500.0,21530.0,09:55,16.795964125560538,446.0
3137.0,21470.0,2022-02-04,21524.0,21446.0,21520.0,10:00,51.66089466089466,1386.0
3138.0,21538.0,2022-02-04,21550.0,21456.0,21476.0,10:05,26.6921768707483,2352.0
3139.0,21510.0,2022-02-04,21550.0,21510.0,21548.0,10:10,33.01328502415459,828.0
3140.0,21474.0,2022-02-04,21538.0,21464.0,21522.0,10:15,26.82544103992572,2154.0
3141.0,21490.0,2022-02-04,21500.0,21466.0,21480.0,10:20,40.46768707482993,588.0
3142.0,21468.0,2022-02-04,21504.0,21468.0,21500.0,10:25,35.81047765793529,1298.0
3143.0,21488.0,2022-02-04,21496.0,21470.0,21470.0,10:30,55.2032967032967,546.0
3144.0,21520.0,2022-02-04,21538.0,21496.0,21496.0,10:35,32.58637236084453,1042.0
3145.0,21516.0,2022-02-04,21524.0,21504.0,21508.0,10:40,21.26856240126382,1266.0
3146.0,21568.0,2022-02-04,21570.0,21518.0,21522.0,10:45,12.203519061583576,3410.0
3147.0,21620.0,2022-02-04,21630.0,21562.0,21566.0,10:50,10.912971175166296,5412.0
3148.0,21652.0,2022-02-04,21706.0,21618.0,21622.0,10:55,14.895397489539748,4302.0
3149.0,21634.0,2022-02-04,21672.0,21600.0,21642.0,11:00,25.59852734922861,2852.0
3150.0,21604.0,2022-02-04,21650.0,21604.0,21638.0,11:05,22.460310612597063,2318.0
3151.0,21660.0,2022-02-04,21666.0,21606.0,21618.0,11:10,21.091477949940405,3356.0
3152.0,21686.0,2022-02-04,21742.0,21654.0,21658.0,11:15,12.439876670092495,5838.0
3153.0,21706.0,2022-02-04,21738.0,21674.0,21686.0,11:20,15.628491620111731,3938.0
3154.0,21730.0,2022-02-04,21770.0,21708.0,21720.0,11:25,14.964458560193588,6612.0
3155.0,21714.0,2022-02-04,21752.0,21700.0,21724.0,11:30,19.357286634460547,4968.0
3156.0,21696.0,2022-02-04,21720.0,21686.0,21704.0,11:35,30.44709246901812,2098.0
3157.0,21694.0,2022-02-04,21730.0,21686.0,21700.0,11:40,26.41435768261965,2382.0
3158.0,21668.0,2022-02-04,21700.0,21654.0,21686.0,11:45,39.950819672131146,1586.0
3159.0,21664.0,2022-02-04,21680.0,21650.0,21662.0,11:50,36.377232142857146,896.0
3160.0,21680.0,2022-02-04,21698.0,21648.0,21664.0,11:55,21.160150891632373,2916.0
3161.0,21676.0,2022-02-04,21700.0,21670.0,21694.0,12:00,10.98095909732017,2836.0
3162.0,21654.0,2022-02-04,21680.0,21646.0,21670.0,12:05,40.13829787234042,564.0
3163.0,21704.0,2022-02-04,21724.0,21664.0,21664.0,12:10,24.16720128307939,2494.0
3164.0,21668.0,2022-02-04,21712.0,21642.0,21704.0,12:15,9.777591036414568,3570.0
3165.0,21686.0,2022-02-04,21686.0,21654.0,21676.0,12:20,14.614798694232862,1838.0
3166.0,21666.0,2022-02-04,21676.0,21656.0,21676.0,12:25,24.02739726027397,876.0
3167.0,21680.0,2022-02-04,21686.0,21660.0,21660.0,12:30,24.132941176470588,850.0
3168.0,21652.0,2022-02-04,21690.0,21652.0,21678.0,12:35,29.51547388781432,1034.0
3169.0,21664.0,2022-02-04,21678.0,21644.0,21652.0,12:40,18.37295690936107,1346.0
3170.0,21682.0,2022-02-04,21694.0,21658.0,21658.0,12:45,55.70680628272251,382.0
3171.0,21650.0,2022-02-04,21682.0,21646.0,21676.0,12:50,16.76653883029722,2086.0
3172.0,21618.0,2022-02-04,21658.0,21610.0,21650.0,12:55,9.756690333151283,3662.0
